,applystudent2,school2,applystudent1,school1,datetime
0,21,양지고,20,다정고,2020-04-08 07:35:44.388528
1,21,양지고,20,다정고,2020-04-08 07:35:49.703139
2,21,양지고,20,다정고,2020-04-08 07:35:55.049748
3,21,양지고,20,다정고,2020-04-08 07:36:00.313897
4,21,양지고,20,다정고,2020-04-08 07:36:05.553829
5,21,양지고,20,다정고,2020-04-08 07:36:10.807187
6,21,양지고,20,다정고,2020-04-08 07:36:16.058845
7,21,양지고,20,다정고,2020-04-08 07:36:21.310237
8,21,양지고,20,다정고,2020-04-08 07:36:26.536855
9,21,양지고,20,다정고,2020-04-08 07:36:31.790956
10,21,양지고,20,다정고,2020-04-08 07:36:37.046328
11,21,양지고,20,다정고,2020-04-08 07:36:42.301456
12,21,양지고,20,다정고,2020-04-08 07:36:47.528894
13,21,양지고,20,다정고,2020-04-08 07:36:52.812462
14,21,양지고,20,다정고,2020-04-08 07:36:58.080487
15,21,양지고,20,다정고,2020-04-08 07:37:03.359176
16,21,양지고,20,다정고,2020-04-08 07:37:08.598976
17,21,양지고,20,다정고,2020-04-08 07:37:13.850954
18,21,양지고,20,다정고,2020-04-08 07:37:19.076441
19,21,양지고,20,다정고,2020-04-08 07:37:24.329211
20,21,양지고,20,다정고,2020-04-08 07:37:29.572110
21,21,양지고,20,다정고,2020-04-08 07:37:34.822262
22,21,양지고,20,다정고,2020-04-08 07:37:40.067453
23,21,양지고,20,다정고,2020-04-08 07:37:45.322157
24,21,양지고,20,다정고,2020-04-08 07:37:50.546120
25,21,양지고,20,다정고,2020-04-08 07:37:55.802781
26,21,양지고,20,다정고,2020-04-08 07:38:01.024307
27,21,양지고,20,다정고,2020-04-08 07:38:06.272672
28,21,양지고,20,다정고,2020-04-08 07:38:11.504470
29,21,양지고,20,다정고,2020-04-08 07:38:16.751491
30,21,양지고,20,다정고,2020-04-08 07:38:21.980094
31,21,양지고,20,다정고,2020-04-08 07:38:27.232156
32,21,양지고,20,다정고,2020-04-08 07:38:32.459027
33,21,양지고,20,다정고,2020-04-08 07:38:37.709578
34,21,양지고,20,다정고,2020-04-08 07:38:42.937273
35,21,양지고,20,다정고,2020-04-08 07:38:48.186159
36,21,양지고,20,다정고,2020-04-08 07:38:53.432689
37,21,양지고,20,다정고,2020-04-08 07:38:58.683226
38,21,양지고,20,다정고,2020-04-08 07:39:03.910682
39,21,양지고,20,다정고,2020-04-08 07:39:09.161190
40,21,양지고,20,다정고,2020-04-08 07:39:15.655549
41,21,양지고,20,다정고,2020-04-08 07:39:20.906844
42,21,양지고,20,다정고,2020-04-08 07:39:26.134205
43,21,양지고,20,다정고,2020-04-08 07:39:31.385125
44,21,양지고,20,다정고,2020-04-08 07:39:36.612969
45,21,양지고,20,다정고,2020-04-08 07:39:41.879093
46,21,양지고,20,다정고,2020-04-08 07:39:47.122244
47,21,양지고,20,다정고,2020-04-08 07:39:52.362939
48,21,양지고,20,다정고,2020-04-08 07:39:57.634480
49,21,양지고,20,다정고,2020-04-08 07:40:02.885701
50,21,양지고,20,다정고,2020-04-08 07:40:08.112700
51,21,양지고,20,다정고,2020-04-08 07:40:13.371493
52,21,양지고,20,다정고,2020-04-08 07:40:18.592421
53,21,양지고,20,다정고,2020-04-08 07:40:24.643552
54,21,양지고,20,다정고,2020-04-08 07:40:29.870921
55,21,양지고,20,다정고,2020-04-08 07:40:35.122100
56,21,양지고,20,다정고,2020-04-08 07:40:40.349807
57,21,양지고,20,다정고,2020-04-08 07:40:45.620614
58,21,양지고,20,다정고,2020-04-08 07:40:50.860245
59,21,양지고,20,다정고,2020-04-08 07:40:56.115917
60,21,양지고,20,다정고,2020-04-08 07:41:01.339637
61,21,양지고,20,다정고,2020-04-08 07:41:06.595502
62,21,양지고,20,다정고,2020-04-08 07:41:12.650541
63,21,양지고,20,다정고,2020-04-08 07:41:17.901135
64,21,양지고,20,다정고,2020-04-08 07:41:23.646416
65,21,양지고,20,다정고,2020-04-08 07:41:28.899028
66,21,양지고,20,다정고,2020-04-08 07:41:34.141303
67,21,양지고,20,다정고,2020-04-08 07:41:39.673551
68,21,양지고,20,다정고,2020-04-08 07:41:45.638370
69,21,양지고,20,다정고,2020-04-08 07:41:50.906429
70,21,양지고,20,다정고,2020-04-08 07:41:56.133829
71,21,양지고,20,다정고,2020-04-08 07:42:01.381460
72,21,양지고,20,다정고,2020-04-08 07:42:06.626579
73,21,양지고,20,다정고,2020-04-08 07:42:11.877962
74,21,양지고,20,다정고,2020-04-08 07:42:17.106282
75,21,양지고,20,다정고,2020-04-08 07:42:22.657095
76,21,양지고,20,다정고,2020-04-08 07:42:27.985827
77,21,양지고,20,다정고,2020-04-08 07:42:33.235742
78,21,양지고,20,다정고,2020-04-08 07:42:38.462126
79,21,양지고,20,다정고,2020-04-08 07:42:43.750418
80,21,양지고,20,다정고,2020-04-08 07:42:48.974833
81,21,양지고,20,다정고,2020-04-08 07:42:54.218045
82,21,양지고,20,다정고,2020-04-08 07:42:59.452318
83,21,양지고,20,다정고,2020-04-08 07:43:04.703458
84,21,양지고,20,다정고,2020-04-08 07:43:09.931069
85,21,양지고,20,다정고,2020-04-08 07:43:15.190097
86,21,양지고,20,다정고,2020-04-08 07:43:20.409622
87,21,양지고,20,다정고,2020-04-08 07:43:25.658377
88,21,양지고,20,다정고,2020-04-08 07:43:30.885868
89,21,양지고,20,다정고,2020-04-08 07:43:36.138744
90,21,양지고,20,다정고,2020-04-08 07:43:41.364688
91,21,양지고,20,다정고,2020-04-08 07:43:46.622195
92,21,양지고,20,다정고,2020-04-08 07:43:51.859572
93,21,양지고,20,다정고,2020-04-08 07:43:57.111811
94,21,양지고,20,다정고,2020-04-08 07:44:02.338277
95,21,양지고,20,다정고,2020-04-08 07:44:07.589450
96,21,양지고,20,다정고,2020-04-08 07:44:13.734559
97,21,양지고,20,다정고,2020-04-08 07:44:19.020887
98,21,양지고,20,다정고,2020-04-08 07:44:24.247047
99,21,양지고,20,다정고,2020-04-08 07:44:29.495616
100,21,양지고,20,다정고,2020-04-08 07:44:34.723942
101,21,양지고,20,다정고,2020-04-08 07:44:40.007917
102,21,양지고,20,다정고,2020-04-08 07:44:45.320308
103,21,양지고,20,다정고,2020-04-08 07:44:50.570922
104,21,양지고,20,다정고,2020-04-08 07:44:55.797712
105,21,양지고,20,다정고,2020-04-08 07:45:01.050117
106,21,양지고,20,다정고,2020-04-08 07:45:06.275236
107,21,양지고,20,다정고,2020-04-08 07:45:11.529289
108,21,양지고,20,다정고,2020-04-08 07:45:16.754100
109,21,양지고,20,다정고,2020-04-08 07:45:22.021674
110,21,양지고,20,다정고,2020-04-08 07:45:27.247337
111,21,양지고,20,다정고,2020-04-08 07:45:32.664228
112,21,양지고,20,다정고,2020-04-08 07:45:37.893041
113,21,양지고,20,다정고,2020-04-08 07:45:43.140433
114,21,양지고,20,다정고,2020-04-08 07:45:48.371151
115,21,양지고,20,다정고,2020-04-08 07:45:53.620853
116,21,양지고,20,다정고,2020-04-08 07:45:58.898076
117,21,양지고,20,다정고,2020-04-08 07:46:04.151031
118,21,양지고,20,다정고,2020-04-08 07:46:09.395363
119,21,양지고,20,다정고,2020-04-08 07:46:14.647967
120,21,양지고,20,다정고,2020-04-08 07:46:20.642130
121,21,양지고,20,다정고,2020-04-08 07:46:25.901263
122,21,양지고,20,다정고,2020-04-08 07:46:31.134244
123,21,양지고,20,다정고,2020-04-08 07:46:36.386086
124,21,양지고,20,다정고,2020-04-08 07:46:41.614194
125,21,양지고,20,다정고,2020-04-08 07:46:46.884439
126,21,양지고,20,다정고,2020-04-08 07:46:52.239901
127,21,양지고,20,다정고,2020-04-08 07:46:57.495793
128,21,양지고,20,다정고,2020-04-08 07:47:02.721039
129,21,양지고,20,다정고,2020-04-08 07:47:07.977138
130,21,양지고,20,다정고,2020-04-08 07:47:13.230304
131,21,양지고,20,다정고,2020-04-08 07:47:18.498855
132,21,양지고,20,다정고,2020-04-08 07:47:23.742920
133,21,양지고,20,다정고,2020-04-08 07:47:29.000315
134,21,양지고,20,다정고,2020-04-08 07:47:34.253179
135,21,양지고,20,다정고,2020-04-08 07:47:39.507054
136,21,양지고,20,다정고,2020-04-08 07:47:45.516490
137,21,양지고,20,다정고,2020-04-08 07:47:50.770556
138,21,양지고,20,다정고,2020-04-08 07:47:55.995351
139,21,양지고,20,다정고,2020-04-08 07:48:01.251973
140,21,양지고,20,다정고,2020-04-08 07:48:06.491219
141,21,양지고,20,다정고,2020-04-08 07:48:12.676893
142,21,양지고,20,다정고,2020-04-08 07:48:17.904721
143,21,양지고,20,다정고,2020-04-08 07:48:23.160787
144,21,양지고,20,다정고,2020-04-08 07:48:28.397316
145,21,양지고,20,다정고,2020-04-08 07:48:33.652985
146,21,양지고,20,다정고,2020-04-08 07:48:38.894563
147,21,양지고,20,다정고,2020-04-08 07:48:44.168572
148,21,양지고,20,다정고,2020-04-08 07:48:49.420614
