,applystudent2,school1,datetime,applystudent1,school2
0,21,다정고,2020-04-08 12:54:53.833418,20,양지고
1,21,다정고,2020-04-08 12:54:59.204099,20,양지고
2,21,다정고,2020-04-08 12:55:04.529562,20,양지고
3,21,다정고,2020-04-08 12:55:09.816695,20,양지고
4,21,다정고,2020-04-08 12:55:15.121019,20,양지고
5,21,다정고,2020-04-08 12:55:20.414624,20,양지고
6,21,다정고,2020-04-08 12:55:25.700270,20,양지고
7,21,다정고,2020-04-08 12:55:30.979974,20,양지고
8,21,다정고,2020-04-08 12:55:37.302054,20,양지고
9,21,다정고,2020-04-08 12:55:42.588519,20,양지고
10,21,다정고,2020-04-08 12:55:47.895898,20,양지고
11,21,다정고,2020-04-08 12:55:53.477167,20,양지고
12,21,다정고,2020-04-08 12:55:58.767515,20,양지고
13,21,다정고,2020-04-08 12:56:04.054507,20,양지고
14,21,다정고,2020-04-08 12:56:09.358289,20,양지고
15,21,다정고,2020-04-08 12:56:14.650077,20,양지고
16,21,다정고,2020-04-08 12:56:19.955192,20,양지고
17,21,다정고,2020-04-08 12:56:25.248562,20,양지고
18,21,다정고,2020-04-08 12:56:30.530840,20,양지고
19,21,다정고,2020-04-08 12:56:35.800975,20,양지고
20,21,다정고,2020-04-08 12:56:41.100851,20,양지고
21,21,다정고,2020-04-08 12:56:46.370140,20,양지고
22,21,다정고,2020-04-08 12:56:51.651369,20,양지고
23,21,다정고,2020-04-08 12:56:56.948918,20,양지고
24,21,다정고,2020-04-08 12:57:02.392155,20,양지고
25,21,다정고,2020-04-08 12:57:07.680311,20,양지고
26,21,다정고,2020-04-08 12:57:12.963573,20,양지고
27,21,다정고,2020-04-08 12:57:18.252423,20,양지고
28,21,다정고,2020-04-08 12:57:23.542824,20,양지고
29,21,다정고,2020-04-08 12:57:29.459816,20,양지고
30,21,다정고,2020-04-08 12:57:34.750180,20,양지고
31,21,다정고,2020-04-08 12:57:40.037251,20,양지고
32,21,다정고,2020-04-08 12:57:45.394497,20,양지고
33,21,다정고,2020-04-08 12:57:50.685291,20,양지고
34,21,다정고,2020-04-08 12:57:55.963994,20,양지고
35,21,다정고,2020-04-08 12:58:01.250063,20,양지고
36,21,다정고,2020-04-08 12:58:06.534475,20,양지고
37,21,다정고,2020-04-08 12:58:11.818380,20,양지고
38,21,다정고,2020-04-08 12:58:17.101230,20,양지고
39,21,다정고,2020-04-08 12:58:22.400814,20,양지고
40,21,다정고,2020-04-08 12:58:28.434962,20,양지고
41,21,다정고,2020-04-08 12:58:33.720561,20,양지고
42,21,다정고,2020-04-08 12:58:43.083186,20,양지고
43,21,다정고,2020-04-08 12:58:49.471692,20,양지고
44,21,다정고,2020-04-08 12:58:54.756810,20,양지고
45,21,다정고,2020-04-08 12:59:00.049710,20,양지고
46,21,다정고,2020-04-08 12:59:05.477383,20,양지고
47,21,다정고,2020-04-08 12:59:11.009327,20,양지고
