,applystudent2,school2,applystudent1,datetime,school1
0,21,양지고,20,2020-04-08 21:24:33.164807,다정고
1,21,양지고,20,2020-04-08 21:24:39.138872,다정고
2,21,양지고,20,2020-04-08 21:24:44.461896,다정고
3,21,양지고,20,2020-04-08 21:24:49.785919,다정고
4,21,양지고,20,2020-04-08 21:24:55.209608,다정고
5,21,양지고,20,2020-04-08 21:25:00.507973,다정고
6,21,양지고,20,2020-04-08 21:25:05.797998,다정고
7,21,양지고,20,2020-04-08 21:25:11.080585,다정고
8,21,양지고,20,2020-04-08 21:25:16.357203,다정고
9,21,양지고,20,2020-04-08 21:25:21.658020,다정고
10,21,양지고,20,2020-04-08 21:25:26.940416,다정고
11,21,양지고,20,2020-04-08 21:25:32.232289,다정고
12,21,양지고,20,2020-04-08 21:25:37.569816,다정고
13,21,양지고,20,2020-04-08 21:25:42.868849,다정고
14,21,양지고,20,2020-04-08 21:25:48.180597,다정고
15,21,양지고,20,2020-04-08 21:25:53.475499,다정고
16,21,양지고,20,2020-04-08 21:25:58.771756,다정고
17,21,양지고,20,2020-04-08 21:26:04.052713,다정고
18,21,양지고,20,2020-04-08 21:26:09.509952,다정고
19,21,양지고,20,2020-04-08 21:26:14.799135,다정고
20,21,양지고,20,2020-04-08 21:26:20.172104,다정고
21,21,양지고,20,2020-04-08 21:26:25.460239,다정고
22,21,양지고,20,2020-04-08 21:26:30.769725,다정고
23,21,양지고,20,2020-04-08 21:26:36.045159,다정고
24,21,양지고,20,2020-04-08 21:26:41.343060,다정고
25,21,양지고,20,2020-04-08 21:26:47.315567,다정고
26,21,양지고,20,2020-04-08 21:26:52.618240,다정고
27,21,양지고,20,2020-04-08 21:26:57.907889,다정고
28,21,양지고,20,2020-04-08 21:27:03.174493,다정고
29,21,양지고,20,2020-04-08 21:27:08.456312,다정고
30,21,양지고,20,2020-04-08 21:27:13.769199,다정고
31,21,양지고,20,2020-04-08 21:27:19.052164,다정고
32,21,양지고,20,2020-04-08 21:27:24.335833,다정고
33,21,양지고,20,2020-04-08 21:27:29.628019,다정고
34,21,양지고,20,2020-04-08 21:27:34.918881,다정고
35,21,양지고,20,2020-04-08 21:27:40.189531,다정고
36,21,양지고,20,2020-04-08 21:27:45.475048,다정고
37,21,양지고,20,2020-04-08 21:27:50.780356,다정고
38,21,양지고,20,2020-04-08 21:27:56.120907,다정고
39,21,양지고,20,2020-04-08 21:28:01.417457,다정고
40,21,양지고,20,2020-04-08 21:28:06.727833,다정고
41,21,양지고,20,2020-04-08 21:28:12.015729,다정고
42,21,양지고,20,2020-04-08 21:28:17.298869,다정고
43,21,양지고,20,2020-04-08 21:28:22.585533,다정고
44,21,양지고,20,2020-04-08 21:28:27.887081,다정고
45,21,양지고,20,2020-04-08 21:28:33.178679,다정고
46,21,양지고,20,2020-04-08 21:28:38.483634,다정고
47,21,양지고,20,2020-04-08 21:28:43.772234,다정고
48,21,양지고,20,2020-04-08 21:28:49.065136,다정고
49,21,양지고,20,2020-04-08 21:28:54.355383,다정고
50,21,양지고,20,2020-04-08 21:28:59.653825,다정고
51,21,양지고,20,2020-04-08 21:29:04.935681,다정고
52,21,양지고,20,2020-04-08 21:29:10.222522,다정고
53,21,양지고,20,2020-04-08 21:29:15.509750,다정고
54,21,양지고,20,2020-04-08 21:29:20.791611,다정고
55,21,양지고,20,2020-04-08 21:29:26.080583,다정고
56,21,양지고,20,2020-04-08 21:29:31.373094,다정고
57,21,양지고,20,2020-04-08 21:29:36.662039,다정고
58,21,양지고,20,2020-04-08 21:29:41.955541,다정고
59,21,양지고,20,2020-04-08 21:29:47.242662,다정고
60,21,양지고,20,2020-04-08 21:29:52.537241,다정고
61,21,양지고,20,2020-04-08 21:29:57.821520,다정고
62,21,양지고,20,2020-04-08 21:30:03.109633,다정고
63,21,양지고,20,2020-04-08 21:30:08.391627,다정고
64,21,양지고,20,2020-04-08 21:30:13.674637,다정고
65,21,양지고,20,2020-04-08 21:30:18.957590,다정고
66,21,양지고,20,2020-04-08 21:30:24.261246,다정고
67,21,양지고,20,2020-04-08 21:30:29.548467,다정고
68,21,양지고,20,2020-04-08 21:30:34.826819,다정고
69,21,양지고,20,2020-04-08 21:30:40.117212,다정고
70,21,양지고,20,2020-04-08 21:30:45.405712,다정고
71,21,양지고,20,2020-04-08 21:30:50.672043,다정고
72,21,양지고,20,2020-04-08 21:30:55.963699,다정고
73,21,양지고,20,2020-04-08 21:31:01.258118,다정고
74,21,양지고,20,2020-04-08 21:31:06.526174,다정고
75,21,양지고,20,2020-04-08 21:31:11.817096,다정고
76,21,양지고,20,2020-04-08 21:31:17.106596,다정고
77,21,양지고,20,2020-04-08 21:31:22.399316,다정고
