datetime,school1,school2,applystudent1,applystudent2
2020-04-08 22:16:09.256235,다정고,양지고,20,21
2020-04-08 22:16:14.651377,다정고,양지고,20,21
2020-04-08 22:16:19.957992,다정고,양지고,20,21
2020-04-08 22:16:25.275680,다정고,양지고,20,21
2020-04-08 22:16:30.595570,다정고,양지고,20,21
2020-04-08 22:16:35.912019,다정고,양지고,20,21
2020-04-08 22:16:41.234761,다정고,양지고,20,21
2020-04-08 22:16:46.661685,다정고,양지고,20,21
2020-04-08 22:16:52.005841,다정고,양지고,20,21
2020-04-08 22:16:57.408618,다정고,양지고,20,21
2020-04-08 22:17:02.937325,다정고,양지고,20,21
2020-04-08 22:17:08.441198,다정고,양지고,20,21
2020-04-08 22:17:13.983765,다정고,양지고,20,21
2020-04-08 22:17:19.398512,다정고,양지고,20,21
2020-04-08 22:17:24.800010,다정고,양지고,20,21
2020-04-08 22:17:30.184002,다정고,양지고,20,21
